personne,emotion,pourcentage_emotion,niveau_dengagement,time_sequence
Personne-13,sad,35,Engaged,frame_89955.csv
Personne-14,neutral,66,Engaged,frame_89955.csv
Personne-15,neutral,95,Engaged,frame_89955.csv
Personne-16,sad,97,Engaged,frame_89955.csv
Personne-17,angry,88,Engaged,frame_89955.csv
Personne-18,sad,70,Engaged,frame_89955.csv
Personne-1,neutral,78,Not Engaged,frame_93953.csv
Personne-2,fear,66,Engaged,frame_93953.csv
Personne-3,angry,66,Engaged,frame_93953.csv
Personne-4,neutral,42,Engaged,frame_93953.csv
Personne-5,sad,73,Engaged,frame_93953.csv
Personne-6,fear,78,Engaged,frame_93953.csv
Personne-7,neutral,54,Engaged,frame_93953.csv
Personne-8,fear,56,Not Engaged,frame_93953.csv
Personne-9,neutral,57,Not Engaged,frame_93953.csv
Personne-10,disgust,58,Engaged,frame_93953.csv
Personne-11,surprise,59,Not Engaged,frame_93953.csv
Personne-12,angry,89,Engaged,frame_93953.csv
Personne-13,sad,67,Not Engaged,frame_93953.csv
Personne-14,angry,53,Engaged,frame_93953.csv
Personne-15,neutral,95,Engaged,frame_93953.csv
Personne-16,fear,88,Engaged,frame_93953.csv
Personne-17,sad,50,Engaged,frame_93953.csv
Personne-18,angry,73,Engaged,frame_93953.csv
Personne-1,neutral,79,Not Engaged,frame_97951.csv
Personne-2,neutral,55,Engaged,frame_97951.csv
Personne-3,fear,51,Engaged,frame_97951.csv
Personne-4,sad,50,Engaged,frame_97951.csv
Personne-5,fear,67,Engaged,frame_97951.csv
Personne-6,sad,79,Not Engaged,frame_97951.csv
Personne-7,neutral,89,Not Engaged,frame_97951.csv
Personne-8,angry,84,Engaged,frame_97951.csv
Personne-9,sad,86,Not Engaged,frame_97951.csv
Personne-10,angry,92,Engaged,frame_97951.csv
Personne-11,angry,50,Engaged,frame_97951.csv
Personne-12,neutral,42,Engaged,frame_97951.csv
Personne-13,fear,81,Engaged,frame_97951.csv
Personne-14,happy,92,Not Engaged,frame_97951.csv
Personne-15,sad,44,Engaged,frame_97951.csv
Personne-16,neutral,80,Engaged,frame_97951.csv
Personne-1,sad,51,Engaged,frame_9995.csv
Personne-2,surprise,77,Engaged,frame_9995.csv
Personne-3,surprise,59,Engaged,frame_9995.csv
Personne-4,neutral,54,Not Engaged,frame_9995.csv
Personne-5,sad,99,Engaged,frame_9995.csv
Personne-6,neutral,50,Engaged,frame_9995.csv
Personne-7,neutral,44,Not Engaged,frame_9995.csv
Personne-8,sad,59,Engaged,frame_9995.csv
Personne-9,neutral,93,Engaged,frame_9995.csv
Personne-10,neutral,97,Not Engaged,frame_9995.csv
Personne-11,sad,91,Engaged,frame_9995.csv
Personne-12,sad,82,Not Engaged,frame_9995.csv
Personne-13,angry,67,Engaged,frame_9995.csv
Personne-14,fear,80,Not Engaged,frame_9995.csv
Personne-15,neutral,63,Not Engaged,frame_9995.csv
Personne-16,angry,66,Engaged,frame_9995.csv
Personne-17,angry,73,Engaged,frame_9995.csv
